id;company_name;address;email;fy;book_date;currency_string;currency_symbol;currency_sub_string;dealer_type;tax_rate;type;extra_field;extrafield_1
1;Isle;Fantastic;Romaine_Langworth@yahoo.com;2020-07-28;2020-07-28;Montserrat transparent;$;drive Generic Enterprise-wide;Representative;71679;teal Auto Loan Account Security;Executive matrix;content optical
2;Integrated;Research Small Corporate;Garland.Conn3@gmail.com;2020-07-28;2020-07-28;Martinique system engine Australian Dollar;C$;invoice Road standardization;protocol SCSI;57569;Tuna Haven Handcrafted;Philippines;standardization tan deposit
3;China;District French Southern Territories;Emilia_Mraz@yahoo.com;2020-07-29;2020-07-29;magnetic Concrete;₪;HTTP;Central generating strategize;45020;Kentucky;Re-contextualized;AI
4;copying;Thailand THX;Lexi.Kunde@hotmail.com;2020-07-29;2020-07-29;Granite;₦;morph;Gorgeous California;36773;AI;Solomon Islands Dollar Gorgeous Plastic Sausages monitor;Savings Account redundant
5;monetize THX;Personal Loan Account Glen;Kaia_Kutch@gmail.com;2020-07-29;2020-07-29;bricks-and-clicks dynamic;£;Buckinghamshire RAM Auto Loan Account;Tanzanian Shilling Gorgeous Frozen Shoes regional;95216;bleeding-edge;bricks-and-clicks leverage;Executive
6;target communities Toys;Intelligent Granite Hat;Eliane.Sanford@hotmail.com;2020-07-29;2020-07-28;Pa'anga;£;programming;Polarised Corporate;94910;Utah;Investment Account;primary quantifying
7;Small Soft Pizza Dale;utilize;Marques19@hotmail.com;2020-07-29;2020-07-28;Handmade Granite Computer Associate;₩;Credit Card Account;Reduced;62428;generating Savings Account;Internal capability;Markets purple
8;red Gabon Focused;Applications alarm;Freeman50@gmail.com;2020-07-29;2020-07-29;Comoros Central Towels;Rp;out-of-the-box input;GB;12230;Music Checking Account;Tunnel;bottom-line hard drive
9;digital RSS;Missouri transmitter Belize;Thalia28@gmail.com;2020-07-29;2020-07-29;Integrated;€;bypassing Grocery;systems;92612;generating content-based;transmitting Metal Music;Auto Loan Account Operations zero tolerance
10;Manager Spain;Cambridgeshire quantifying;Karolann.Shields42@yahoo.com;2020-07-28;2020-07-29;Generic bandwidth;lei;transmit Gateway;pixel Loaf;94036;Director Research Home Loan Account;convergence;Taiwan
