id;name;jhi_group;quantity;extra_field
1;indexing;navigate niches Car;Rustic Rubber Pizza;Sleek cross-platform
2;Senior primary;Kwanza;Sleek Wooden Chicken Team-oriented;synthesizing
3;Mall Administrator;Fantastic functionalities;Cambridgeshire Overpass;cross-platform Division
4;generate;modular driver;application;magenta SQL
5;Shoes;vortals cyan user-centric;Keyboard withdrawal maximize;connecting
6;SDD;program Netherlands Antillian Guilder Liberian Dollar;contingency;functionalities generate
7;Coordinator Cambridgeshire;leverage alarm Human;navigating Auto Loan Account;Cambridgeshire Pennsylvania Handmade Fresh Bacon
8;protocol Mouse index;Bolivia;Outdoors;Mission
9;Business-focused parsing;parsing;open-source withdrawal alarm;Innovative neural
10;Sleek Granite Bike;Washington;Dynamic;Egyptian Pound throughput
