id;name;jhi_group;units;rate;quantity_per_rate;value;extra_field
1;emulation Seychelles Rupee Tools;systematic Integration drive;revolutionize calculate;Plains Rustic;Compatible;morph Station;Global
2;South Carolina circuit metrics;silver;Games Ergonomic Plastic Fish;Home;Avon synergies;Plastic Industrial Eritrea;Pound Sterling Knoll Reactive
3;projection;Alaska Direct access;Analyst hack;yellow quantifying Soap;Electronics;Investment Account;Road
4;e-commerce Handmade;deposit;Orchestrator Executive Manager;bricks-and-clicks Program Orchestrator;SSL;Turnpike fuchsia;payment
5;Money Market Account adapter;withdrawal invoice auxiliary;actuating Salad Concrete;demand-driven transmitting conglomeration;blue Station;Licensed Borders Practical Concrete Shirt;Ethiopia Fresh
6;Investment Account Saint Helena indexing;Avon;Utah GB Human;Officer hacking;transmit;initiative bandwidth Soft;Granite Sleek Soft Car
7;Handmade Moldovan Leu;Congolese Franc interface cohesive;parse;Serbian Dinar programming;Architect;Holy See (Vatican City State) Optimization functionalities;French Guiana
8;SMTP bypass Operations;Licensed virtual;array Ergonomic Chicken;Fantastic synthesizing;Practical Trafficway Bedfordshire;Kentucky portals withdrawal;Computers
9;Compatible;red;port United Kingdom;Unbranded Cotton Chair Industrial;Expanded methodologies;quantify;Borders
10;Regional Gorgeous Plastic Pizza;Right-sized Utah bypass;bypass THX calculating;Corporate;connecting content Tennessee;installation;Operations Licensed
