id;salary_month;description;tax;pf
1;withdrawal Gorgeous Maldives;engineer Oklahoma Human;JSON invoice alarm;Buckinghamshire Missouri
2;maximize Bedfordshire;Chair;Health;Drive Sudanese Pound visionary
3;Keys recontextualize;black Reverse-engineered SSL;Consultant;cultivate Generic recontextualize
4;interfaces;solution Valley;eco-centric SAS bypass;portal
5;salmon out-of-the-box;backing up Fantastic;Bacon;extend RSS hack
6;Wooden Refined Granite Chicken;maroon;transform;Cambridgeshire New Zealand
7;Intelligent Metal Bike Florida Money Market Account;Self-enabling Grocery Shirt;seize;mesh
8;Configuration Principal Developer;even-keeled Shoes;bricks-and-clicks paradigm Guinea Franc;Mouse empower
9;Human compressing;THX;Personal Loan Account;User-friendly
10;Pants;envisioneer back-end monitor;deposit;Tasty
