id;formal_name;type;symbol;decimal_places;extra_field
1;Auto Loan Account;transmit;Rubber overriding;haptic;Bond Markets Units European Composite Unit (EURCO)
2;Division Savings Account;New Hampshire;transmitting mobile;leading-edge Syrian Pound Guam;EXE Accountability magenta
3;transmitter connecting Cambridgeshire;Switchable Florida;neural withdrawal Avon;olive;project Metal Saint Helena
4;plum platforms Handcrafted Concrete Chips;Chips;Unbranded turquoise;Outdoors;Hryvnia Reverse-engineered Representative
5;indexing deposit transmit;Cotton;distributed Sierra Leone;communities;Awesome target robust
6;Illinois;transmitting;deposit leading-edge portals;Future transmit Tools;Toys Persistent
7;Haiti;Auto Loan Account wireless secured line;Future-proofed paradigms Incredible;Buckinghamshire Squares Lodge;Licensed Wooden Towels e-business pixel
8;Product connect;Infrastructure;Island ROI XSS;Jewelery Ethiopia North Dakota;Hat
9;Integration Coordinator;JBOD matrix Mouse;Myanmar Licensed Concrete Ball hard drive;Refined Locks;application core Uganda Shilling
10;Human Ball 24 hour;bifurcated;connecting;bypass;pixel utilize payment
